Training:   0%|                                                                                                           | 0/100 [00:00<?, ?it/s]D:\involuntary\works\classes\ANN\HW1\codes\loss.py:39: RuntimeWarning: divide by zero encountered in log
  ln_t_sub_h = np.where(target == 0, 1e-9, np.log(target / input_softmax))
20:40:14.137      Training iter 50, batch loss 0.0223, batch acc 0.2634
20:40:14.377      Training iter 100, batch loss 0.0153, batch acc 0.6650
20:40:14.572      Training iter 150, batch loss 0.0082, batch acc 0.7952
20:40:14.679      Training iter 200, batch loss 0.0061, batch acc 0.8384
20:40:14.858      Training iter 250, batch loss 0.0051, batch acc 0.8666
20:40:15.049      Training iter 300, batch loss 0.0045, batch acc 0.8750
20:40:15.268      Training iter 350, batch loss 0.0043, batch acc 0.8754
20:40:15.500      Training iter 400, batch loss 0.0037, batch acc 0.8948
20:40:15.705      Training iter 450, batch loss 0.0036, batch acc 0.8988
20:40:15.932      Training iter 500, batch loss 0.0035, batch acc 0.8994
20:40:16.167      Training iter 550, batch loss 0.0036, batch acc 0.8942
20:40:16.407      Training iter 600, batch loss 0.0034, batch acc 0.9046
20:40:16.408 Testing @ 0 epoch...
20:40:16.553      Testing, total mean loss 0.00321, total acc 0.90720
Training:   3%|██▉                                                                                                | 3/100 [00:08<04:24,  2.73s/it]
20:40:16.815      Training iter 50, batch loss 0.0032, batch acc 0.9088
20:40:17.053      Training iter 100, batch loss 0.0032, batch acc 0.9032
20:40:17.271      Training iter 150, batch loss 0.0032, batch acc 0.9130
20:40:17.500      Training iter 200, batch loss 0.0029, batch acc 0.9212
20:40:17.745      Training iter 250, batch loss 0.0030, batch acc 0.9150
20:40:17.999      Training iter 300, batch loss 0.0032, batch acc 0.9022
20:40:18.259      Training iter 350, batch loss 0.0031, batch acc 0.9090
20:40:18.520      Training iter 400, batch loss 0.0031, batch acc 0.9110
20:40:18.776      Training iter 450, batch loss 0.0031, batch acc 0.9106
20:40:19.031      Training iter 500, batch loss 0.0028, batch acc 0.9184
20:40:19.289      Training iter 550, batch loss 0.0027, batch acc 0.9212
20:40:19.547      Training iter 600, batch loss 0.0028, batch acc 0.9138
20:40:19.549 Testing @ 1 epoch...
20:40:19.740      Testing, total mean loss 0.00265, total acc 0.92210
20:40:20.019      Training iter 50, batch loss 0.0026, batch acc 0.9224
20:40:20.293      Training iter 100, batch loss 0.0028, batch acc 0.9160
20:40:20.489      Training iter 150, batch loss 0.0027, batch acc 0.9202
20:40:20.615      Training iter 200, batch loss 0.0026, batch acc 0.9200
20:40:20.755      Training iter 250, batch loss 0.0025, batch acc 0.9304
20:40:20.907      Training iter 300, batch loss 0.0025, batch acc 0.9300
20:40:21.098      Training iter 350, batch loss 0.0025, batch acc 0.9236
20:40:21.318      Training iter 400, batch loss 0.0027, batch acc 0.9226
20:40:21.457      Training iter 450, batch loss 0.0027, batch acc 0.9194
20:40:21.601      Training iter 500, batch loss 0.0024, batch acc 0.9312
20:40:21.819      Training iter 550, batch loss 0.0026, batch acc 0.9278
20:40:22.034      Training iter 600, batch loss 0.0024, batch acc 0.9298
20:40:22.036 Testing @ 2 epoch...
20:40:22.151      Testing, total mean loss 0.00237, total acc 0.93310
20:40:22.346      Training iter 50, batch loss 0.0023, batch acc 0.9322
20:40:22.567      Training iter 100, batch loss 0.0024, batch acc 0.9302
20:40:22.721      Training iter 150, batch loss 0.0022, batch acc 0.9350
20:40:22.913      Training iter 200, batch loss 0.0022, batch acc 0.9370
20:40:23.161      Training iter 250, batch loss 0.0024, batch acc 0.9332
20:40:23.313      Training iter 300, batch loss 0.0021, batch acc 0.9356
