Training: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 20/20 [02:13<00:00,  6.69s/it]
22:42:11.475 Testing @ 0 epoch...
22:42:14.232 Testing @ 1 epoch...
22:42:19.264 Testing @ 2 epoch...
22:42:26.837 Testing @ 3 epoch...
22:42:34.391 Testing @ 4 epoch...
22:42:41.960 Testing @ 5 epoch...
22:42:48.817 Testing @ 6 epoch...
22:42:55.992 Testing @ 7 epoch...
22:43:03.487 Testing @ 8 epoch...
22:43:10.771 Testing @ 9 epoch...
22:43:17.638 Testing @ 10 epoch...
22:43:24.818 Testing @ 11 epoch...
22:43:32.312 Testing @ 12 epoch...
22:43:39.139 Testing @ 13 epoch...
22:43:46.190 Testing @ 14 epoch...
22:43:53.408 Testing @ 15 epoch...
22:44:00.787 Testing @ 16 epoch...
22:44:07.865 Testing @ 17 epoch...
22:44:14.842 Testing @ 18 epoch...
22:44:22.137 Testing @ 19 epoch...
