Training: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 20/20 [00:59<00:00,  2.98s/it]
22:51:02.986 Testing @ 0 epoch...
22:51:05.923 Testing @ 1 epoch...
22:51:08.586 Testing @ 2 epoch...
22:51:11.039 Testing @ 3 epoch...
22:51:13.777 Testing @ 4 epoch...
22:51:16.574 Testing @ 5 epoch...
22:51:19.511 Testing @ 6 epoch...
22:51:22.456 Testing @ 7 epoch...
22:51:25.481 Testing @ 8 epoch...
22:51:28.534 Testing @ 9 epoch...
22:51:31.677 Testing @ 10 epoch...
22:51:34.930 Testing @ 11 epoch...
22:51:38.192 Testing @ 12 epoch...
22:51:40.912 Testing @ 13 epoch...
22:51:43.852 Testing @ 14 epoch...
22:51:47.057 Testing @ 15 epoch...
22:51:50.317 Testing @ 16 epoch...
22:51:53.500 Testing @ 17 epoch...
22:51:56.668 Testing @ 18 epoch...
22:51:59.640 Testing @ 19 epoch...
